listing_id,host_id,listing_type,reviews,satisfaction_rate,accommodates,bedrooms,price,latitude,longitude
7794516,15376230,Private room,52,5,1,1,31,51.483839,-2.5257
8498389,40930189,Private room,40,5,1,1,32,51.484964,-2.527792
11183376,58208888,Private room,0,0,2,1,32,51.477497,-2.515375
322906,1156132,Private room,80,4.5,3,1,84,51.466684,-2.582741
12588549,50498618,Private room,0,0,2,1,136,51.464183,-2.585166
5890330,7588995,Private room,64,4.5,2,1,52,51.469603,-2.582614
2225509,10310486,Private room,111,4.5,2,1,60,51.463018,-2.586199
13784994,26101307,Private room,1,0,1,1,45,51.464177,-2.585615
421205,2094659,Private room,40,5,2,1,41,51.464648,-2.583665
979236,1156132,Private room,135,4.5,2,1,71,51.466651,-2.582844
6376019,5100050,Private room,16,4,2,1,59,51.463782,-2.583754
11740175,8521301,Private room,36,5,2,1,52,51.466672,-2.586314
11903873,24731691,Private room,28,4.5,2,1,50,51.465131,-2.583003
16297171,38739317,Private room,0,0,2,1,40,51.465524,-2.585151
15036519,12751244,Private room,8,4,2,1,52,51.470593,-2.584128
13919704,5100050,Private room,2,0,2,1,59,51.463939,-2.583207
907928,2689636,Private room,144,4.5,2,1,36,51.466192,-2.584792
6206974,1297767,Private room,58,5,2,1,60,51.469871,-2.583214
10590143,53464980,Private room,12,4.5,1,1,26,51.466619,-2.583048
15338471,22580395,Private room,7,4.5,2,1,39,51.470612,-2.583031
15017070,12751244,Private room,7,4.5,2,1,52,51.469402,-2.583272
8896326,44753674,Private room,18,5,2,1,39,51.46945,-2.586266
3365141,7588995,Private room,218,4.5,2,1,52,51.46816,-2.582436
7407521,1297767,Private room,47,5,2,1,45,51.469229,-2.583304
1439525,7142936,Private room,2,0,2,1,59,51.474348,-2.596491
10364300,1746083,Private room,13,4.5,2,1,39,51.475327,-2.587289
5753753,29674675,Private room,44,4.5,2,1,45,51.474999,-2.591397
13303661,9397785,Private room,3,5,2,1,52,51.475124,-2.596439
5752534,29674675,Private room,58,4.5,4,1,55,51.475482,-2.59202
5723236,29674675,Private room,32,4.5,2,1,41,51.475781,-2.590376
12247664,14410812,Private room,2,0,2,1,43,51.474995,-2.586459
13275195,30214662,Private room,8,4.5,4,1,37,51.475523,-2.582917
6195762,30214662,Private room,76,4.5,8,1,40,51.476253,-2.582492
13702894,79953700,Private room,4,5,2,1,45,51.470657,-2.591304
13837581,81635468,Private room,14,4.5,2,1,52,51.475615,-2.585656
391613,1958566,Private room,49,4.5,1,1,32,51.464992,-2.578263
12999430,31999039,Private room,29,4.5,2,1,50,51.468029,-2.566376
2213560,9170903,Private room,0,0,2,1,71,51.471676,-2.556253
914833,4910757,Private room,0,0,3,1,91,51.464184,-2.548454
2164660,5905890,Private room,78,5,2,1,43,51.469878,-2.563364
5989372,31096738,Private room,35,4,4,1,20,51.464413,-2.575638
13987717,31518590,Private room,17,5,2,1,39,51.472027,-2.584644
5598386,4427937,Private room,0,0,2,1,129,51.491147,-2.53652
16145452,104820967,Private room,2,0,2,1,36,51.46216,-2.550194
14665251,91115129,Private room,6,5,2,1,25,51.496369,-2.576767
14976531,73688902,Private room,2,0,1,1,20,51.463609,-2.536787
8498352,40930189,Private room,65,5,2,1,45,51.484028,-2.528331
16047049,77568695,Private room,5,5,4,1,36,51.482276,-2.588618
15334296,97752271,Private room,9,5,2,1,37,51.480195,-2.582371
14627596,7380185,Private room,15,5,1,1,34,51.474566,-2.588376
14913567,93684655,Private room,12,5,1,1,34,51.494375,-2.557239
15550502,100085500,Private room,1,0,2,1,52,51.475643,-2.615761
2819807,14425470,Private room,106,5,1,1,32,51.458512,-2.623205
11115567,57746959,Private room,93,5,1,1,26,51.464761,-2.518131
8376608,29334528,Private room,18,5,1,1,32,51.479901,-2.583989
15627342,13069747,Private room,7,5,2,1,52,51.463591,-2.589436
8097937,18833150,Private room,73,5,2,1,45,51.478283,-2.593791
3975847,20605126,Private room,1,0,2,1,52,51.470773,-2.611891
11529140,60676521,Private room,52,5,1,1,43,51.442679,-2.605751
11518739,58067723,Private room,16,5,1,1,49,51.457712,-2.626346
15528949,99865250,Private room,9,5,1,1,39,51.471214,-2.584245
14785171,28876100,Private room,39,4.5,2,1,39,51.44115,-2.576136
11961212,46125713,Private room,75,5,1,1,21,51.474026,-2.589353
14378167,61042223,Private room,55,5,2,1,52,51.445518,-2.609798
15227718,95664486,Private room,24,5,1,1,39,51.460313,-2.613169
15934587,131091,Private room,2,0,2,1,36,51.472174,-2.588406
15408378,98654196,Private room,8,5,1,1,35,51.44303,-2.576315
13951595,83045529,Shared room,1,0,1,1,127,51.472917,-2.555335
8821171,1474050,Shared room,14,4,1,1,30,51.4569,-2.60861
1004836,1474050,Shared room,28,4,1,1,32,51.457479,-2.608216
8929292,1474050,Shared room,10,4,1,1,29,51.457475,-2.608083
5574234,27609728,Shared room,62,5,2,1,24,51.457254,-2.555705
1290163,1474050,Shared room,25,4,1,1,29,51.458072,-2.608734
14234345,23478992,Shared room,10,4.5,1,1,29,51.440025,-2.592855
16257906,100015287,Shared room,0,0,1,1,22,51.455385,-2.588215
8821381,1474050,Shared room,9,4.5,1,1,28,51.457811,-2.608365
14804496,78801578,Shared room,0,0,1,1,22,51.480039,-2.588091
14998788,94590149,Shared room,5,5,4,1,23,51.439693,-2.535526
